"ordinal","id","companyName","topic","topicCategory","region","grade","reason","detailUrl"
"86","taidongkeji","钛动科技","如果你是钛动科技的创业者，如何在AI出海营销赛道中找到一个年利润百万美金的真实商业机会，并论证它值得做？","AI + 营销推广","南部赛区（广州）","B","适合商业研究和机会验证，但不是针对现有企业低效流程的系统改造。","https://activity.feishu.cn/future-talent?detail=taidongkeji"
"87","chimelonggroup","长隆集团","从“全周期游客视角”出发，用AI重塑人与乐园空间的连接。构建贯穿“游前感知-游中沉浸-游后留存”的全链路AI智慧伴游系统，如提供游玩路线\景点\商品推荐、即兴游客互动、动物讲解、酒店指引等。","AI + 客户体验","南部赛区（广州）","B","具备跨业态全周期系统视角，但重心是游客体验与消费转化而非内部组织运行。","https://activity.feishu.cn/future-talent?detail=chimelonggroup"
"88","jiankangyuanyaoyejituan","健康元药业集团","如果你加入健康元的临床开发团队，你会如何借助AI能力，在临床试验的方案设计、受试者招募、数据监查及文档撰写等关键环节中实现效率突破？","AI + 研发创新","南部赛区（广州）","C","临床方案、受试者招募和数据监查具有高专业与高合规风险。","https://activity.feishu.cn/future-talent?detail=jiankangyuanyaoyejituan"
"89","lizhuyiyaojituan","丽珠医药集团","如果你加入丽珠的生物发酵团队，你会如何借助AI能力，在抗生素中间体及活菌制剂的发酵产线上实现降本与提质？","AI + 研发创新","南部赛区（广州）","C","抗生素和活菌制剂发酵需要生物发酵、制药工艺和产线控制知识。","https://activity.feishu.cn/future-talent?detail=lizhuyiyaojituan"
"90","shenzhouzuche","神州租车","如果你加入神州租车人力资源团队，你会如何借助AI，让对的人出现在最需要他的岗位上？","AI + 综合领域","北部赛区（北京）","A","需求澄清、岗位画像和留任诊断可重塑分散组织的人力资源管理机制。","https://activity.feishu.cn/future-talent?detail=shenzhouzuche"
"91","xinshiqi","新石器","依托飞书 AI 搭建无人配送全渠道用户反馈闭环运营体系","AI + 综合领域","北部赛区（北京）","A","明确用多维表格、飞书 AI、流程引擎和知识库解决跨部门反馈闭环。","https://activity.feishu.cn/future-talent?detail=xinshiqi"
"92","shitoukeji","石头科技","如果你是石头科技的产品经理，如何让 AI 帮机器人更懂每个家庭的清洁需求？","AI + 研发创新","北部赛区（北京）","C","清洁机器人需求理解涉及传感器、机器人数据与控制，且并非企业流程题。","https://activity.feishu.cn/future-talent?detail=shitoukeji"
"93","weixue","维学","我校线上小班思辨课程面向 1-7 年级学生，课堂、习作无统一标准答案，学生思辨能力评估完全依赖人工评价，由此产生反馈效率低、个性化指导欠缺、学情无法量化等教学难题，请设计一套数字化方案解决以上问题。","AI + 研发创新","东部赛区（上海）","B","评价、反馈和学情闭环可 Agent 化，但可靠评分依赖教育测评方法。","https://activity.feishu.cn/future-talent?detail=weixue"
"94","haizhengyaoye","海正药业","如何利用AI构建辅助工艺放大的智能体，打通研发到量产壁垒，实现参数溯源与预测、风险评估、智能预警等？","AI + 研发创新","东部赛区（上海）","C","制药工艺放大、参数预测和风险评估高度依赖药学与生产工艺知识。","https://activity.feishu.cn/future-talent?detail=haizhengyaoye"
"95","chenguang","晨光","AI for pen・笔伴成长，轻松学习！，请为晨光设计一个可以和用户互动，可以帮助用户学习更专注，更轻松的书写工具，用 AI 解决学习过程中的的麻烦！","AI + 研发创新","东部赛区（上海）","C","更接近智能硬件或消费者学习产品，与企业级 Agent 管理方案不匹配。","https://activity.feishu.cn/future-talent?detail=chenguang"
"96","cheliantianxia","车联天下","当 App 退到后台，AI Agent 如何重新定义下一代车机交互？","AI + 研发创新","东部赛区（上海）","C","车机 Agent 涉及汽车 HMI、系统权限和嵌入式环境，专业工程依赖明显。","https://activity.feishu.cn/future-talent?detail=cheliantianxia"
"97","xingmaichuangxin","星迈创新","如何借助AI，基于泳池机器人行业公开市场数据进行营销洞察与产品策略建议","AI + 营销推广","东部赛区（上海）","B","研究 Agent 可完成公开数据分析，但交付是一次营销洞察与产品建议。","https://activity.feishu.cn/future-talent?detail=xingmaichuangxin"
"98","oupaijiaju","欧派家居","欧派家居 “一体化设计、一站式配齐”的大家居战略，服务流程复杂、销售管控难、客户体验如何提升等难点，你会如何借助AI来让这件事更简单便捷。","AI + 客户体验","南部赛区（广州）","A","设计、报价、生产、交付和售后链路割裂，是典型 ERP、CRM 流程向 Agent 编排重塑场景。","https://activity.feishu.cn/future-talent?detail=oupaijiaju"
"99","pangdonglai","胖东来","如何借助 AI 技术，让外界更深入地了解胖东来""自由·爱""的企业文化","AI + 综合领域","北部赛区（北京）","B","可构建文化知识与传播 Agent，但目标是外部认知，缺少经营执行闭环。","https://activity.feishu.cn/future-talent?detail=pangdonglai"
"100","ruixingkafei","瑞幸咖啡","Al Agent时代，流量入口发生变化。结合瑞幸真实业务场景搭建 AI Agent 流量运营方案：品牌无法直触用户的背景下，依托 AI Agent 洞察用户意图，重构会员关系，打通唤醒、推荐、下单、复购、长效忠诚全运营闭环。","AI + 营销推广","北部赛区（北京）","A","直接要求 Agent 流量入口和会员唤醒、推荐、下单、复购、忠诚全生命周期闭环。","https://activity.feishu.cn/future-talent?detail=ruixingkafei"
"101","jingtaikeji","晶泰科技","如果你是晶泰科技智能自主实验室的研发效能负责人，你会如何借助飞书会议AI，将离散实验数据转化为可流动、可沉淀的团队知识资产？","AI + 综合领域","南部赛区（广州）","A","官网明确不要求深度医药背景，重点是飞书会议、知识库和任务重塑研发协作与知识循环。","https://activity.feishu.cn/future-talent?detail=jingtaikeji"
"102","guojijinggong","国机精工","如果你加入国机精工的超硬材料研发团队，你会如何借助AI多模态融合感知与自适应控制算法，让高温高压金刚石合成工艺从“依赖老师傅经验”升级为“数据驱动的自主智能控制”？","AI + 研发创新","北部赛区（北京）","C","多模态感知、自适应控制和高温高压材料工艺属于强理工科命题。","https://activity.feishu.cn/future-talent?detail=guojijinggong"
"103","delijituan","得力集团","在 AI 时代下，未来 10 年，得力如何在产品、品牌、渠道三方面进行转型？","AI + 综合领域","东部赛区（上海）","B","企业转型范围大但缺少具体流程、痛点、数据和验收指标，容易退化为泛战略。","https://activity.feishu.cn/future-talent?detail=delijituan"
"104","maijinkeji","迈金科技","AI时代下，如何快速发现全球骑行用户的真实需求？","AI + 综合领域","北部赛区（北京）","B","可用用户研究 Agent，但命题窄且模糊，缺乏组织流程和系统改造对象。","https://activity.feishu.cn/future-talent?detail=maijinkeji"
"105","shengnongjituan","圣农集团","如果你加入圣农零售铁军，你会如何借助AI重新设计""业务员—区域—集团""的三级销售作战闭环，并量化它能带来的业绩增量。","AI + 营销推广","东部赛区（上海）","A","六套系统、三级组织和一线赋能问题明确，适合构建可复用的飞书销售作战中枢。","https://activity.feishu.cn/future-talent?detail=shengnongjituan"
"106","yidiantianxia","易点天下","如果你加入易点天下的全球增长团队，你会如何用 AI，把一版中国创意，快速变出几十个国家都 ""接地气"" 的本地版本？","AI + 营销推广","西部赛区（成都）","B","适合多 Agent 内容本地化流水线，但主要是创意生产提效。","https://activity.feishu.cn/future-talent?detail=yidiantianxia"
"107","wenyuanzhixing","文远知行","给无人车装上“智慧大脑”：AI加持下的Robotaxi运营新玩法","AI + 客户体验","南部赛区（广州）","C","Robotaxi 运营描述模糊，容易进入自动驾驶与车辆调度等专业领域。","https://activity.feishu.cn/future-talent?detail=wenyuanzhixing"
"108","yixianjituan","逸仙集团","基于AI的美妆社交媒体传播分析与内容策略优化","AI + 营销推广","南部赛区（广州）","B","可做传播分析 Agent，但仍是单一美妆营销分析与内容优化场景。","https://activity.feishu.cn/future-talent?detail=yixianjituan"
